Team Name,Golfer0,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10,Injury1,Injury2,Injury3,Injury4,Injury5,Injury6,Injury7,Injury8,Injury9,Injury10,Max_Injury_Salary,Sub_Salary,Earnings0,Earnings1,Earnings2,Earnings3,Earnings4,Earnings5,Earnings6,Earnings7,Earnings8,Earnings9,Earnings10,Tourney_Nb,Earn_Sum_Tourney,Earn_Sum_YTD,Payout_Sum_YTD,Period,Dates,Payout Tier,Tournament,Pay1,Pay2,Pay3,Pay4,Pay5,Pay6,Pay7,tourney_rank_min,tourney_rank_reverse,tourney_rank_max,pay_sum,weekly_payout
In Rory We Trust,Harry Hall,Rory McIlroy,Justin Thomas,Jason Day,Taylor Pendrith,Alex Noren,Ben Griffin,Daniel Berger,Nico Echavarria,,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,,,,52080.0,302250.0,,0.0,0.0,,,,3,354330.0,3458659.0,15.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,14.0,59.0,14.0,0,0.0
It Burns When I Pee,Rickie Fowler,Justin Thomas,Sam Burns,Shane Lowry,Maverick McNealy,Tom Hoge,Aaron Rai,Alex Noren,Ben Griffin,Taylor Pendrith,,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,1.0,0.0,,,,24382.0,24382.0,,,24382.0,24382.0,,1,97528.0,97528.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,47.0,26.0,47.0,0,0.0
It Burns When I Pee,Rickie Fowler,Justin Thomas,Sam Burns,Shane Lowry,Maverick McNealy,Tom Hoge,Aaron Rai,Alex Noren,Ben Griffin,Taylor Pendrith,,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,1.0,0.0,959200.0,57640.0,,,57640.0,,,267300.0,,,2,1341780.0,1439308.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,8.0,65.0,8.0,0,0.0
It Burns When I Pee,Rickie Fowler,Justin Thomas,Sam Burns,Shane Lowry,Maverick McNealy,Tom Hoge,Aaron Rai,Alex Noren,Ben Griffin,Taylor Pendrith,,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,1.0,0.0,,,0.0,22646.0,,0.0,,0.0,302250.0,,3,324896.0,1764204.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,17.0,56.0,17.0,0,0.0
Jackets and Jeans,Cameron Young,Ludvig Aberg,Max Homa,Austin Eckroat,Min Woo Lee,Adam Hadwin,Alex Noren,Cam Davis,Brian Harman,,,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,3.0,0.0,,,0.0,,19314.0,,0.0,80088.0,,,1,99402.0,99402.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,46.0,27.0,46.0,0,0.0
Jackets and Jeans,Cameron Young,Ludvig Aberg,Max Homa,Austin Eckroat,Min Woo Lee,Adam Hadwin,Alex Noren,Cam Davis,Brian Harman,,,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,3.0,0.0,,,,,0.0,,125400.0,0.0,,,2,125400.0,224802.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,39.0,32.0,41.0,0,0.0
Jackets and Jeans,Cameron Young,Ludvig Aberg,Max Homa,Austin Eckroat,Min Woo Lee,Adam Hadwin,Alex Noren,Cam Davis,Brian Harman,,,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,3.0,0.0,33945.0,0.0,0.0,,,,,,,,3,33945.0,258747.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,46.0,18.0,55.0,0,0.0
John Daly's Fitness Plan,Andrew Novak,Sam Burns,Russell Henley,Shane Lowry,Davis Thompson,Sepp Straka,Tom Hoge,Austin Eckroat,Brian Harman,Alex Noren,Ben Griffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.5,0.0,,195025.0,,0.0,52138.0,24382.0,0.0,80088.0,,24382.0,1,376015.0,376015.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,15.0,58.0,15.0,0,0.0
John Daly's Fitness Plan,Andrew Novak,Sam Burns,Russell Henley,Shane Lowry,Davis Thompson,Sepp Straka,Tom Hoge,Austin Eckroat,Brian Harman,Alex Noren,Ben Griffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.5,0.0,57640.0,,,21032.0,1584000.0,57640.0,,0.0,,267300.0,2,1987612.0,2363627.0,15.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,3.0,70.0,3.0,15,15.0
John Daly's Fitness Plan,Andrew Novak,Sam Burns,Russell Henley,Shane Lowry,Davis Thompson,Sepp Straka,Tom Hoge,Austin Eckroat,Brian Harman,Alex Noren,Ben Griffin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.5,641700.0,,,0.0,,,,0.0,,,0.0,3,641700.0,3005327.0,15.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,8.0,65.0,8.0,0,0.0
Knaby's,Matthieu Pavon,Hideki Matsuyama,Sahith Theegala,Jordan Spieth,J.T. Poston,Maverick McNealy,Eric Cole,Adam Hadwin,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,132675.0,36975.0,,0.0,24382.0,356700.0,19314.0,,,,1,570046.0,570046.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,12.0,61.0,12.0,0,0.0
Knaby's,Matthieu Pavon,Hideki Matsuyama,Sahith Theegala,Jordan Spieth,J.T. Poston,Maverick McNealy,Eric Cole,Adam Hadwin,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,,,,169400.0,,18304.0,0.0,,,,2,187704.0,757750.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,34.0,39.0,34.0,0,0.0
Knaby's,Matthieu Pavon,Hideki Matsuyama,Sahith Theegala,Jordan Spieth,J.T. Poston,Maverick McNealy,Eric Cole,Adam Hadwin,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,52080.0,22646.0,,,22646.0,19716.0,,,,,3,117088.0,874838.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,37.0,36.0,37.0,0,0.0
Lincoln Hawk of the Trucker's Division,Akshay Bhatia,Ludvig Aberg,Matt McCarty,Maverick McNealy,Michael Thorbjornsen,Tom Hoge,Nick Dunlap,Thomas Detry,Rasmus Hojgaard,Andrew Novak,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,,18444.0,24382.0,,24382.0,195025.0,20387.0,,0.0,,1,282620.0,282620.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,29.0,44.0,29.0,0,0.0
Lincoln Hawk of the Trucker's Division,Akshay Bhatia,Ludvig Aberg,Matt McCarty,Maverick McNealy,Michael Thorbjornsen,Tom Hoge,Nick Dunlap,Thomas Detry,Rasmus Hojgaard,Andrew Novak,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,,0.0,,0.0,57640.0,42093.0,,,0.0,,2,99733.0,382353.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,45.0,27.0,46.0,0,0.0
Lincoln Hawk of the Trucker's Division,Akshay Bhatia,Ludvig Aberg,Matt McCarty,Maverick McNealy,Michael Thorbjornsen,Tom Hoge,Nick Dunlap,Thomas Detry,Rasmus Hojgaard,Andrew Novak,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,33945.0,0.0,22646.0,0.0,,,132732.0,,641700.0,,3,831023.0,1213376.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,6.0,67.0,6.0,0,0.0
Lump of Clay,Tommy Fleetwood,Rory McIlroy,Sam Burns,Shane Lowry,Aaron Rai,Alex Noren,Taylor Pendrith,Ben Griffin,Andrew Novak,Patrick Fishburn,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,2.75,0.0,,,,,,24382.0,24382.0,0.0,283838.0,,1,332602.0,332602.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,22.0,51.0,22.0,0,0.0
Lump of Clay,Tommy Fleetwood,Rory McIlroy,Sam Burns,Shane Lowry,Aaron Rai,Alex Noren,Taylor Pendrith,Ben Griffin,Andrew Novak,Patrick Fishburn,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,2.75,0.0,,57640.0,,,,,267300.0,0.0,0.0,,2,324940.0,657542.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,24.0,49.0,24.0,0,0.0
Lump of Clay,Tommy Fleetwood,Rory McIlroy,Sam Burns,Shane Lowry,Aaron Rai,Alex Noren,Taylor Pendrith,Ben Griffin,Andrew Novak,Patrick Fishburn,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,2.75,0.0,,,0.0,0.0,,302250.0,0.0,641700.0,0.0,,3,943950.0,1601492.0,5.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,5.0,68.0,5.0,5,5.0
Mahady,Akshay Bhatia,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,,,,,,,,,,,1,0.0,0.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,65.0,1.0,72.0,0,0.0
Mahady,Akshay Bhatia,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.75,,,,,,,,,,,,2,0.0,0.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,62.0,1.0,72.0,0,0.0
Mahady,Akshay Bhatia,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.75,,,33945.0,0.0,,,,,,,,3,33945.0,33945.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,46.0,18.0,55.0,0,0.0
