Tourney_Nb,Team Name,InjurySub,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
1,John Daly's Fitness Plan,,,195025.0,,,52138.0,24382.0,,80088.0,,24382.0
1,Knaby's,Matthieu Pavon,Hideki Matsuyama,Sahith Theegala,Jordan Spieth,J.T. Poston,Maverick McNealy,Eric Cole,Adam Hadwin,,,
1,Knaby's,,132675.0,36975.0,,,24382.0,356700.0,19314.0,,,
1,Lincoln Hawk of the Trucker's Division,Akshay Bhatia,Ludvig Aberg,Matt McCarty,Maverick McNealy,Michael Thorbjornsen,Tom Hoge,Nick Dunlap,Thomas Detry,Rasmus Hojgaard,Andrew Novak,
1,Lincoln Hawk of the Trucker's Division,,,18444.0,24382.0,,24382.0,195025.0,20387.0,,,
1,Lump of Clay,Tommy Fleetwood,Rory McIlroy,Sam Burns,Shane Lowry,Aaron Rai,Alex Noren,Taylor Pendrith,Ben Griffin,Andrew Novak,Patrick Fishburn,
1,Lump of Clay,,,,,,,24382.0,24382.0,,283838.0,
1,Mahady,Akshay Bhatia,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,
1,Mahady,,,,,,,,,,,
1,MoB Inc,Bryson DeChambeau,Rory McIlroy,Matt Fitzpatrick,Shane Lowry,Davis Thompson,Wyndham Clark,,,,,
1,MoB Inc,,,,,,,,,,,
1,No Bueno Shank,Tom Hoge,Rory McIlroy,Will Zalatoris,Keegan Bradley,Matt McCarty,Rickie Fowler,Jordan Spieth,,,,
1,No Bueno Shank,,,,283838.0,18444.0,,,,,,
1,OTP Sandbaggers,Ben Griffin,Aaron Rai,Adam Schenk,Adam Hadwin,Alex Noren,Billy Horschel,Chris Kirk,Keith Mitchell,Stephan Jaeger,Taylor Pendrith,Xander Schauffele
1,OTP Sandbaggers,24382.0,,283838.0,19314.0,,,,52138.0,513300.0,24382.0,
1,Q School,Keegan Bradley,Tony Finau,Adam Scott,Brian Harman,Collin Morikawa,Si Woo Kim,Nicolai Hojgaard,,,,
1,Q School,,,,80088.0,,,,,,,
1,Rat Farts!,Tom Kim,Viktor Hovland,Sam Burns,Akshay Bhatia,Corey Conners,Keegan Bradley,,,,,
1,Rat Farts!,,,,,,283838.0,,,,,
1,Rated X,Akshay Bhatia,Xander Schauffele,Billy Horschel,Tom Hoge,Sam Burns,Maverick McNealy,Frankie Capan III,Aldrich Potgieter,,,
1,Rated X,,,,24382.0,,24382.0,24382.0,,,,
1,Ricky Strokes,Aaron Rai,Christiaan Bezuidenhout,Cam Davis,Corey Conners,Jhonattan Vegas,Erik van Rooyen,Keegan Bradley,Justin Rose,Matt Fitzpatrick,Jordan Spieth,Robert MacIntyre
1,Ricky Strokes,,,,,,52138.0,283838.0,,,,20387.0
1,Sandbagger,Ludvig Aberg,Hideki Matsuyama,Patrick Cantlay,Max Greyserman,Jason Day,Jordan Spieth,Erik van Rooyen,,,,
1,Sandbagger,,132675.0,,,,,52138.0,,,,
1,Sexual Chocolate,Patrick Cantlay,Rory McIlroy,Ludvig Aberg,Davis Thompson,Austin Eckroat,Brian Harman,Daniel Berger,,,,
1,Sexual Chocolate,,,,,,80088.0,,,,,
1,Slog,Alex Noren,Ben Griffin,Sam Burns,Taylor Pendrith,Aaron Rai,Rory McIlroy,Maverick McNealy,Doug Ghim,Thirston Lawrence,Andrew Novak,Takumi Kanaya
1,Slog,,24382.0,,24382.0,,,24382.0,17226.0,,,
1,SoCal Hacker,Max Homa,Denny McCarthy,Hideki Matsuyama,Rasmus Hojgaard,Tommy Fleetwood,Tom Hoge,Will Zalatoris,,,,
1,SoCal Hacker,,132675.0,132675.0,,,24382.0,,,,,
1,Son of a Squanch!,Adam Hadwin,Xander Schauffele,Akshay Bhatia,Matt Fitzpatrick,Cam Davis,Patrick Rodgers,Matthieu Pavon,Bryson DeChambeau,,,
1,Son of a Squanch!,,,,,,,,,,,
