Team Name,Injury Sub (any value),Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
FroZone,Si Woo Kim,Wyndham Clark,Sahith Theegala,Sam Burns,Russell Henley,Shane Lowry,Takumi Kanaya,,,,
Gamechanger,Kevin Yu,Wyndham Clark,Tom Kim,Keegan Bradley,Eric Cole,Brian Harman,Chris Kirk,Rickie Fowler,Stephan Jaeger,Justin Rose,Matthieu Pavon
Garden State Golf Club,Maverick McNealy,Sahith Theegala,Max Homa,Akshay Bhatia,Nick Dunlap,Matt McCarty,Nico Echavarria,Billy Horschel,,,
General Patton's Troops,Jake Knapp,Ludvig Aberg,Patrick Cantlay,Harris English,Maverick McNealy,Brian Harman,Stephan Jaeger,Patton Kizzire,Patrick Fishburn,,
Gimme Dat,Christiaan Bezuidenhout,Collin Morikawa,Justin Thomas,Aaron Rai,Russell Henley,Rasmus Hojgaard,,,,,
Go back to your shanties!,Adam Hadwin,Viktor Hovland,Tommy Fleetwood,Jason Day,Rasmus Hojgaard,Christiaan Bezuidenhout,Nicolai Hojgaard,Alex Noren,Erik Van Rooyen,Matteo Manassero,
Goin’ Homa,Eric Cole,Aaron Rai,Ludvig Aberg,Tyrrell Hatton,Tom Hoge,Max Homa,Min Woo Lee,Mackenzie Hughes,Stephan Jaeger,,
Golf Ball Whacker Guy,Rory McIlroy,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,
Good Money After Bad,Scottie Scheffler,Sungjae Im,Sahith Theegala,Sepp Straka,Christiaan Bezuidenhout,Tom Hoge,Chris Kirk,Brian Harman,Adam Hadwin,Ben Griffin,Nick Taylor
Good Ol Boys,Thomas Detry,Hideki Matsuyama,Maverick McNealy,Christiaan Bezuidenhout,Sepp Straka,Jhonattan Vegas,Aaron Rai,Tom Hoge,Stephan Jaeger,Chris Kirk,Taylor Pendrith
Hack to the Future,Brian Harman,Collin Morikawa,Wyndham Clark,Akshay Bhatia,Taylor Pendrith,Austin Eckroat,,,,,
Hole 6,Keegan Bradley,Justin Thomas,Sungjae Im,Matt Fitzpatrick,Jason Day,Sepp Straka,Taylor Pendrith,Matt McCarty,,,
Hunter Crew,Shane Lowry,Matt Fitzpatrick,Wyndham Clark,Keegan Bradley,Rory McIlroy,Billy Horschel,,,,,
I know ball,Collin Morikawa,Aaron Rai,Akshay Bhatia,Scottie Scheffler,Si Woo Kim,,,,,,
I love broccoli ,Sahith Theegala,Scottie Scheffler,Akshay Bhatia,Shane Lowry,Brian Harman,,,,,,
In Rory We Trust,Harry Hall,Rory McIlroy,Justin Thomas,Jason Day,Taylor Pendrith,Alex Noren,Ben Griffin,Daniel Berger,Nico Echavarria,,
It Burns When I Pee,Rickie Fowler,Justin Thomas,Sam Burns,Shane Lowry,Maverick McNealy,Tom Hoge,Aaron Rai,Alex Noren,Ben Griffin,Taylor Pendrith,
Jackets and Jeans,Cameron Young,Ludvig Aberg,Max Homa,Austin Eckroat,Min Woo Lee,Adam Hadwin,Alex Noren,Cam Davis,Brian Harman,,
John Daly's Fitness Plan,Andrew Novak,Sam Burns,Russell Henley,Shane Lowry,Davis Thompson,Sepp Straka,Tom Hoge,Austin Eckroat,Brian Harman,Alex Noren,Ben Griffin
Knaby's,Matthieu Pavon,Hideki Matsuyama,Sahith Theegala,Jordan Spieth,J.T. Poston,Maverick McNealy,Eric Cole,Adam Hadwin,,,
Lincoln Hawk of the Trucker's Division,Akshay Bhatia,Ludvig Aberg,Matt McCarty,Maverick McNealy,Michael Thorbjornsen,Tom Hoge,Nick Dunlap,Thomas Detry,Rasmus Hojgaard,Andrew Novak,
Lump of Clay,Tommy Fleetwood,Rory McIlroy,Sam Burns,Shane Lowry,Aaron Rai,Alex Noren,Taylor Pendrith,Ben Griffin,Andrew Novak,Patrick Fishburn,
Mahady,Akshay Bhatia,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,
MoB Inc,Bryson DeChambeau,Rory McIlroy,Matt Fitzpatrick,Shane Lowry,Davis Thompson,Wyndham Clark,,,,,
No Bueno Shank,Tom Hoge,Rory McIlroy,Will Zalatoris,Keegan Bradley,Matt McCarty,Rickie Fowler,Jordan Spieth,,,,
OTP Sandbaggers,Ben Griffin,Aaron Rai,Adam Schenk,Adam Hadwin,Alex Noren,Billy Horschel,Chris Kirk,Keith Mitchell,Stephan Jaeger,Taylor Pendrith,Xander Schauffele
Q School,Keegan Bradley,Tony Finau,Adam Scott,Brian Harman,Collin Morikawa,Si Woo Kim,Nicolai Hojgaard,,,,
Rat Farts!,Tom Kim,Viktor Hovland,Sam Burns,Akshay Bhatia,Corey Conners,Keegan Bradley,,,,,
Rated X,Akshay Bhatia,Xander Schauffele,Billy Horschel,Tom Hoge,Sam Burns,Maverick McNealy,Frankie Capan III,Aldrich Potgieter,,,
Ricky Strokes,Aaron Rai,Christiaan Bezuidenhout,Cam Davis,Corey Conners,Jhonattan Vegas,Erik van Rooyen,Keegan Bradley,Justin Rose,Matt Fitzpatrick,Jordan Spieth,Robert MacIntyre
Sandbagger,Ludvig Aberg,Hideki Matsuyama,Patrick Cantlay,Max Greyserman,Jason Day,Jordan Spieth,Erik van Rooyen,,,,
Sexual Chocolate,Patrick Cantlay,Rory McIlroy,Ludvig Aberg,Davis Thompson,Austin Eckroat,Brian Harman,Daniel Berger,,,,
Slog,Alex Noren,Ben Griffin,Sam Burns,Taylor Pendrith,Aaron Rai,Rory McIlroy,Maverick McNealy,Doug Ghim,Thirston Lawrence,Andrew Novak,Takumi Kanaya
SoCal Hacker,Max Homa,Denny McCarthy,Hideki Matsuyama,Rasmus Hojgaard,Tommy Fleetwood,Tom Hoge,Will Zalatoris,,,,
Son of a Squanch!,Adam Hadwin,Xander Schauffele,Akshay Bhatia,Matt Fitzpatrick,Cam Davis,Patrick Rodgers,Matthieu Pavon,Bryson DeChambeau,,,
Stay Up!!,Emiliano Grillo,Collin Morikawa,Akshay Bhatia,Jordan Spieth,Eric Cole,Min Woo Lee,Chris Kirk,Beau Hossler,Doug Ghim,,
Team Miller Time,Hideki Matsuyama,Xander Schauffele,Ludvig Aberg,Alex Noren,Aaron Rai,Taylor Pendrith,,,,,
The Hulkamaniacs,Matt Kuchar,Xander Schauffele,Si Woo Kim,Ben Griffin,Matt McCarty,Corey Conners,Harry Hall,Matthieu Pavon,Thomas Detry,,
the Lacey Underalls,Erik van Rooyen,Collin Morikawa,Max Homa,Billy Horschel,Bryson DeChambeau,Maverick McNealy,Rickie Fowler,Harry Hall,,,
Three Out of the Sand,Scottie Scheffler,Austin Eckroat,Denny McCarthy,Davis Thompson,Justin Thomas,Ludvig Aberg,Robert MacIntyre,,,,
Titos at the Turn,Patrick Cantlay,Ludvig Aberg,Hideki Matsuyama,Si Woo Kim,Rasmus Hojgaard,Chris Kirk,Michael Thorbjornsen,,,,
Turd Ferguson,Shane Lowry,Scottie Scheffler,Sam Burns,Maverick McNealy,Justin Rose,Frankie Capan III,,,,,
Walking Bogey,Taylor Pendrith,Ludvig Aberg,Sungjae Im,Maverick McNealy,Davis Thompson,Austin Eckroat,Harry Hall,Ben Griffin,Patrick Fishburn,,
Who's Up and Why Aren't They Hitting,Sahith Theegala,Scottie Scheffler,Patrick Cantlay,Shane Lowry,,,,,,,
Wrecking Crew,Davis Thompson,Xander Schauffele,Akshay Bhatia,Brian Harman,Jordan Spieth,Keegan Bradley,Michael Thorbjornsen,,,,
WVU69,Taylor Moore,Austin Eckroat,Corey Conners,Eric Cole,Matt McCarty,Nick Dunlap,Sam Burns,Sepp Straka,Taylor Pendrith,Maverick McNealy,
Young Guns,Chris Kirk,Akshay Bhatia,Matt Fitzpatrick,Nick Dunlap,Robert MacIntyre,Christiaan Bezuidenhout,Taylor Pendrith,Aaron Rai,Tom Hoge,Brian Harman,Matthieu Pavon
